FIA.Code,jenkins_model,PLANTS.Code,Scientific.Name.with.Author,Common.Name,Family,habit,Genus,Species,Adj.Factor,model_name,betaZero,betaOne,chojnacky,Species.Group,Group,MedianSpecGrav,beta0,beta1
NA,mixed hardwood,2PLANT,,,,tree,NA,NA,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,,2PLANT-H,,,,forb/herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,,2PLANT-S,,,,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,douglas,ABAM,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,tree,Abies,amabilis,0.602,sw3,-2.2304,2.4435,AbiesAbove0.35spg,conifer,Conifer,0.37,-3.1774,2.6426
12,douglas,ABBA,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,tree,Abies,balsamea,0.608,sw3,-2.2304,2.4435,AbiesBelow0.35spg,conifer,Conifer,0.33,-2.3123,2.3482
15,douglas,ABCO,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,tree,Abies,concolor,0.602,sw3,-2.2304,2.4435,AbiesAbove0.35spg,conifer,Conifer,0.37,-3.1774,2.6426
16,fir/hemlock,ABFR,Abies fraseri (Pursh) Poir.,Fraser fir,Pinaceae,tree,Abies,fraseri,0.631,sw3,-2.5384,2.4814,AbiesBelow0.35spg,conifer,Conifer,0.33,-2.3123,2.3482
17,douglas,ABGR,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,tree,Abies,grandis,0.602,sw3,-2.2304,2.4435,AbiesAbove0.35spg,conifer,Conifer,0.37,-3.1774,2.6426
12,fir/hemlock,ABIES,Abies Mill.,fir,Pinaceae,tree,NA,NA,0.608,sw3,-2.5384,2.4814,AbiesBelow0.35spg,conifer,Conifer,0.33,-2.3123,2.3482
NA,douglas,ABLAL,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,tree,NA,NA,0.84,sw3,-2.2304,2.4435,AbiesBelow0.35spg,conifer,Conifer,0.33,-2.3123,2.3482
NA,fir/hemlock,ABLO,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,Pinaceae,tree,NA,NA,0.84,sw3,-2.5384,2.4814,AbiesBelow0.35spg,conifer,Conifer,0.33,-2.3123,2.3482
20,douglas,ABMA,Abies magnifica A. Murray bis,California red fir,Pinaceae,tree,Abies,magnifica,0.602,sw3,-2.2304,2.4435,AbiesAbove0.35spg,conifer,Conifer,0.37,-3.1774,2.6426
22,fir/hemlock,ABPR,Abies nobilis (Douglas ex D. Don) Lindl.,noble fir,Pinaceae,tree,Abies,procera,0.602,sw3,-2.5384,2.4814,AbiesAbove0.35spg,conifer,Conifer,0.37,-3.1774,2.6426
NA,soft maple/birch,ACBA2,Acer barbatum Michx. p.p.,southern sugar maple,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
311,soft maple/birch,ACBA3,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,tree,NA,NA,1.84,hw3,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
5146,soft maple/birch,ACCI,Acer circinatum Pursh,vine maple,Aceraceae,tree,Acer,circinatum,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
NA,soft maple/birch,ACER,Acer L.,maple,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
NA,soft maple/birch,ACERAC,aceraceae sp.,,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
303,mixed hardwood,ACFA,Vachellia farnesiana,sweet acacia,Vachellia,tree,Acacia,farnesiana,0.84,hw3,-2.48,2.4835,NA,NA,NA,NA,NA,NA
NA,soft maple/birch,ACGL,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
NA,soft maple/birch,ACGLD4,Acer glabrum Torr. var. douglasii (Hook.) Dippel,Douglas maple,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
6006,woodland,ACKO,Acacia kauaiensis Hillebr.,koa,Acacia,tree,Acacia,koa,0.84,NA,-0.7152,1.7029,NA,NA,NA,NA,NA,NA
312,soft maple/birch,ACMA3,Acer macrophyllum Pursh,bigleaf maple,Aceraceae,tree,Acer,macrophyllum,0.964,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
313,soft maple/birch,ACNE2,Acer negundo L.,boxelder,Aceraceae,tree,Acer,negundo,0.792,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
NA,soft maple/birch,ACNEN,Acer negundo L.,boxelder,Aceraceae,tree,NA,NA,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
315,soft maple/birch,ACPE,Acer pensylvanicum L.,striped maple,Aceraceae,tree,Acer,pensylvanicum,0.84,hw2,-1.9123,2.3651,AceraceaeBelow0.50spg,hardwood,Hardwood,0.44,-2.047,2.3852
NA,,ACRE4,Acacia retusa,catch and keep,Acacia,tree,Acacia,,,,,,,,,,,
