"taxonID","individualID","plotID","siteID","domainID","date","plantStatus","growthForm","canopyPosition","measurementHeight","height","stemDiameter","scientificName","stemDistance","stemAzimuth","year","drc","FIA.Code","jenkins_model","Scientific.Name.with.Author","Common.Name","Family","habit","Genus","Species","Adj.Factor","model_name","betaZero","betaOne","chojnacky","Species.Group","Group","MedianSpecGrav","beta0","beta1","AGBJenkins","AGBChojnacky"
"2PLANT","NEON.PLA.D17.SOAP.00179","SOAP_044","SOAP","D17",2015-10-12,"Standing dead","sapling","Full shade",NA,1.2,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.02837","SOAP_052","SOAP","D17",2015-10-13,"Standing dead","sapling","Full shade",NA,0.6,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.03187","SOAP_055","SOAP","D17",2015-10-22,"Standing dead","sapling","Full shade",NA,0.7,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.03451","SOAP_047","SOAP","D17",2015-11-05,"Standing dead","sapling","Full shade",NA,0.4,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.03795","SOAP_053","SOAP","D17",2015-11-18,"Standing dead","sapling","Full shade",NA,0.2,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.02966","SOAP_060","SOAP","D17",2015-10-21,"Standing dead","sapling","Full shade",NA,0.6,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.02546","SOAP_043","SOAP","D17",2015-09-10,"Standing dead","single bole tree","Full shade",130,NA,50,"Unknown plant",3.4,235,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,1387.84731856288,NA
"2PLANT","NEON.PLA.D17.SOAP.02901","SOAP_046","SOAP","D17",2015-10-14,"Standing dead","sapling","Full shade",NA,0.4,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.02932","SOAP_046","SOAP","D17",2015-10-14,"Standing dead","sapling","Full shade",NA,1.3,NA,"Unknown plant",NA,NA,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,NA,NA
"2PLANT","NEON.PLA.D17.SOAP.00929","SOAP_059","SOAP","D17",2015-09-01,"Live","single bole tree","Mostly shaded",130,NA,10.7,"Unknown plant",3.1,257,"2015",NA,NA,"mixed hardwood","","","","tree",NA,NA,0.84,"hw3",-2.48,2.4835,NA,NA,NA,NA,NA,NA,30.1595110740406,NA
