"","x"
"1",""
"2","2PLANT"
"3","ACER"
"4","ACNE2"
"5","ACPE"
"6","ACRU"
"7","ACSAS"
"8","AIAL"
"9","AMELA"
"10","ARSP2"
"11","ASTR"
"12","BEAL2"
"13","BELE"
"14","BENI"
"15","BEPA"
"16","CAAQ2"
"17","CACA18"
"18","CACO15"
"19","CADE12"
"20","CAGL8"
"21","CAOV2"
"22","CAOV3"
"23","CARYA"
"24","CATO6"
"25","CECAC"
"26","CELA"
"27","CELTI"
"28","CEOC"
"29","COFL2"
"30","COFO"
"31","DIVI"
"32","DIVI5"
"33","FAGR"
"34","FRAM2"
"35","FRAXI"
"36","FRPE"
"37","HADI3"
"38","ILDE"
"39","ILMU"
"40","ILOP"
"41","ILVE"
"42","ILVO"
"43","JUNI"
"44","JUVI"
"45","KALA"
"46","KALMI"
"47","LIBE3"
"48","LISI"
"49","LIST2"
"50","LITU"
"51","MALUS"
"52","MORU"
"53","MORU2"
"54","NYAQ2"
"55","NYSY"
"56","OSVI"
"57","OXAR"
"58","PATO2"
"59","PIAB"
"60","PIEC2"
"61","PINUS"
"62","PIPA2"
"63","PIRE"
"64","PIRU"
"65","PIST"
"66","PITA"
"67","PIVI2"
"68","PLOC"
"69","PRAV"
"70","PRSE2"
"71","PRSES"
"72","QUAL"
"73","QUERC"
"74","QUFA"
"75","QUGE2"
"76","QULA2"
"77","QULA3"
"78","QULY"
"79","QUMA3"
"80","QUMI"
"81","QUMO4"
"82","QUNE"
"83","QUNI"
"84","QUPA5"
"85","QUPH"
"86","QURU"
"87","QURUR"
"88","QUST"
"89","QUVE"
"90","ROPS"
"91","SAAL5"
"92","SANI4"
"93","TADI2"
"94","TSCA"
"95","ULMUS"
"96","VAAR"
"97","VACO"
"98","VAST"
"99","VIPR"
"100",NA
