,Symbol,Synonym.Symbol,Scientific.Name.with.Author,Common.Name,Family,jenkins_model
1,ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,fir/hemlock
2,ACER,,Acer L.,maple,Aceraceae,soft maple/birch
3,ACNE2,,Acer negundo L.,boxelder,Aceraceae,soft maple/birch
4,ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,soft maple/birch
5,ACBA2,,Acer barbatum Michx. p.p.,southern sugar maple,Aceraceae,soft maple/birch
6,ACRU,,Acer rubrum L.,red maple,Aceraceae,soft maple/birch
9,ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,soft maple/birch
10,ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,soft maple/birch
14,ACSA2,ACSA2,Acer saccharinum L.,silver maple,Aceraceae,soft maple/birch
16,ACSA3,ACSAR,Acer saccharum Marshall,sugar maple,Aceraceae,hard maple/oak/hickory/beech
17,ACSAS,,Acer saccharum ,sugar maple,Aceraceae,hard maple/oak/hickory/beech
23,ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,soft maple/birch
26,AEFL,,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,mixed hardwood
28,AEPA,,Aesculus pavia L.,red buckeye,Hippocastanaceae,mixed hardwood
29,AIAL,TOAL4,Toxicodendron altissimum Mill.,,Simaroubaceae,mixed hardwood
32,ALINR,ALRUA,Alnus rugosa (Du Roi) Spreng. var. americana (Regel) Fernald,,,
33,ALINR,ALRU3,Alnus rugosa (Du Roi) Spreng.,,,
34,ALINR,,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Betulaceae,mixed hardwood
35,ALINR,ALINA,Alnus incana (L.) Moench var. americana Regel,,,
36,AMAR3,,Amelanchier arborea (Michx. f.) Fernald,common serviceberry,Rosaceae,woodland
37,AMELA,,Amelanchier Medik.,serviceberry,Rosaceae,woodland
38,AMLA,AMLAN,Amelanchier laevis Wiegand var. nitida (Wiegand) Fernald,,,
39,AMLA,,Amelanchier laevis Wiegand,Allegheny serviceberry,Rosaceae,woodland
40,AMLA,AMGR6,Amelanchier ×grandiflora Rehder,,,
41,AMLA,AMARC,Amelanchier arborea (Michx. f.) Fernald var. cordifolia (Ashe) B. Boivin,,,
42,AMLA,AMARL,Amelanchier arborea (Michx. f.) Fernald ssp. laevis (Wiegand) S. McKay ex Landry,,,
43,AMLA,AMARL2,Amelanchier arborea (Michx. f.) Fernald var. laevis (Wiegand) H.E. Ahles,,,
44,AMSA,,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry,Rosaceae,woodland
45,ARSP2,,Aralia spinosa L.,devil's walkingstick,Araliaceae,mixed hardwood
46,ASIN12,PIIN4,Pityothamnus incanus (W. Bartram) Small,,,
47,ASIN12,,Asimina incana (W. Bartram) Exell,woolly pawpaw,Annonaceae,mixed hardwood
48,ASIN12,ASSP13,Asimina speciosa Nash,,,
49,ASTR,,Asimina triloba (L.) Dunal,pawpaw,Annonaceae,mixed hardwood
50,ASTR,ORAR5,"Orchidocarpum arietinum Michx., nom. inval.",,,
51,BEAL2,,Betula alleghaniensis Britton,yellow birch,Betulaceae,soft maple/birch
52,BELE,,Betula lenta L.,sweet birch,Betulaceae,soft maple/birch
53,BENI,,Betula nigra L.,river birch,Betulaceae,soft maple/birch
54,BEPA,,Betula papyrifera Marshall,paper birch,Betulaceae,soft maple/birch
55,BEPAC2,BECO3,Betula cordifolia Regel,,,
56,BEPAC2,,Betula papyrifera Marshall var. cordifolia (Regel) Fernald,mountain paper birch,Betulaceae,soft maple/birch
